Хлоргексидина биглюконат раствор водный для местного и наружного применения 0,05% 100 мл флакон 1 шт.;https://sc.api.megapteka.ru/items/31/05/6c71fab9ddb25426160e86fb43e5dffbb622521af2653a028910b9f4874e2888.jpg;12,20 ₽;Акушерство. Гинекология;Хлоргексидинсф, Хлоргексидинмедисорб, Амидент, Хлоргексидинабиглюконат, Биоасептик;Прозрачный или слегка опалесцирующий бесцветный раствор без запаха.;{'Планета Здоровья': ['Набережные Челны, ул. Вахитова, 14А', 'Набережные Челны, ул. Яшьлек, 14', 'Набережные Челны, ул. Мира, 24', 'Набережные Челны, пр-кт Сююмбике, 53', 'Набережные Челны, пр-кт Сююмбике, 40', 'Набережные Челны, пр-кт Мира, 52/16 компл.3/01', 'Набережные Челны, 16-й комплекс, 1А/пр-кт Раиса Беляева, 28', 'Набережные Челны, пр-кт Мира, 65', 'Набережные Челны, б-р Цветочный, 5'], 'Аптека Апрель': ['Набережные Челны, пр-кт Автозаводский, 23Б']}
Хлоргексидина биглюконат раствор водный для местного и наружного применения 0,05% 100 мл флакон 1 шт.;https://sc.api.megapteka.ru/items/6b/36/81ebc307d0cdde17375e010a9ab9ac09bde7289489b16aa3d41411c732c95c28.jpg;13 ₽;Акушерство. Гинекология;Хлоргексидинсф, Хлоргексидинмедисорб, Амидент, Хлоргексидинабиглюконат, Биоасептик;Прозрачный или слегка опалесцирующий бесцветный раствор без запаха.;{'Планета Здоровья': ['Набережные Челны, наб. Габдулы Тукая, 2', 'Набережные Челны, ул. Вахитова, 14А']}
Хлоргексидина биглюконат раствор водный для наружного применения 0,05 % 100 мл флакон;https://sc.api.megapteka.ru/items/15/27/3a395966cb86b672aaa947f648383db054d1c3d054494f84fcd4b5a18c0984d3.jpg;13 ₽;Акушерство. Гинекология;Хлоргексидинсф, Хлоргексидинмедисорб, Амидент, Хлоргексидинабиглюконат, Биоасептик;Прозрачный или слегка опалесцирующий бесцветный раствор без запаха.;{'Планета Здоровья': ['Набережные Челны, пр-кт Сююмбике, 40', 'Набережные Челны, ул. Виктора Полякова, 20Г', 'Набережные Челны, ул. Вахитова, 14А', 'Набережные Челны, ул. Яшьлек, 14', 'Набережные Челны, 16-й комплекс, 1А/пр-кт Раиса Беляева, 28', 'Набережные Челны, пр-кт Мусы Джалиля, 74', 'Набережные Челны, пр-кт Мира, 50/15', 'Набережные Челны, пр-кт Чулман, 33', 'Набережные Челны, наб. Габдулы Тукая, 2', 'Набережные Челны, ул. Мира, 24']}
Хлоргексидина биглюконат раствор водный для наружного применения 0,05% 100 мл флакон 1 шт.;https://sc.api.megapteka.ru/items/04/8c/febf9fd9aefa117ef027d552dc6120fc4ba87bf3309e47f8772cc3b05c84adb1.jpg;14 ₽;Акушерство. Гинекология;Хлоргексидинсф, Хлоргексидинмедисорб, Амидент, Хлоргексидинабиглюконат, Биоасептик;Прозрачный или слегка опалесцирующий бесцветный раствор без запаха.;{'Магнит': ['Набережные Челны, пр-кт Дружбы Народов,11А', 'Набережные Челны, пр-кт Московский, 133А'], 'Цена красна': ['Набережные Челны, пр-кт Московский, 105, 4/03'], 'АптекаПлюс': ['Набережные Челны, пр-кт Мусы Джалиля, 47А', 'Набережные Челны, пр-кт Набережночелнинский, 51', 'Набережные Челны, пр-кт Автозаводский, 29', 'Набережные Челны, пр-кт Раиса Беляева, 45А', 'Набережные Челны, пр-кт Сююмбике, 58А', 'Набережные Челны, ул. Набережночелнинский, 7', 'Набережные Челны, пр-кт Дружбы Народов, 9Б']}
Хлоргексидина биглюконат раствор водный для наружного применения 0,05% 100 мл 1 шт.;https://sc.api.megapteka.ru/items/c2/18/1a2134b5efcc2ae520162eef26b1115185ec6ae1b7c6d1a39f6f8b862c8bfe91.jpg;15,40 ₽;Акушерство. Гинекология;Хлоргексидинсф, Хлоргексидинмедисорб, Амидент, Хлоргексидинабиглюконат, Биоасептик;Прозрачный или слегка опалесцирующий бесцветный раствор без запаха.;{'АптекаПлюс': ['Набережные Челны, Сармановский тракт, 52, пом.1', 'Набережные Челны, пр-кт Мира, 66А', 'Набережные Челны, пр-кт Московский, 86', 'Набережные Челны, пр-кт Чулман, 40/11А', 'Набережные Челны, ул. Шамиля Усманова, 68', 'Набережные Челны, пр-кт Автозаводский, 29', 'Набережные Челны, пр-кт Сююмбике, 51, пом.1002'], 'Цена красна': ['Набережные Челны, пр-кт Московский, 105, 4/03'], 'Низкие цены': ['Набережные Челны, пр-кт им Мусы Джалиля, 68, пом. 1эт. 21-24', 'Набережные Челны, ул. Шамиля Усманова, 47']}
Хлоргексидина биглюконат раствор водный для наружного применения 0,05% 100 мл флакон 1 шт.;https://sc.api.megapteka.ru/items/70/f9/3e241480765ddd7eb9d7f2419c7d8d7feb6e04bba71668d8c38c19571dfa7d37.jpg;16 ₽;Акушерство. Гинекология;Хлоргексидинсф, Хлоргексидинмедисорб, Амидент, Хлоргексидинабиглюконат, Биоасептик;Прозрачный или слегка опалесцирующий бесцветный раствор без запаха.;{'Аптека Апрель': ['Набережные Челны, пр-кт Московский, 165', 'Набережные Челны, ул. Шамиля Усманова, 36А', 'Набережные Челны, ул. им. Комарова, 18', 'Набережные Челны, ул. Аркылы, 19', 'Набережные Челны, пр-кт Сююмбике, 64', 'Набережные Челны, 6-й комплекс, 1, пр-кт Мира, 50/15', 'Набережные Челны, Шамиля Усманова, 20А', 'Набережные Челны, пр-кт Автозаводский, 23Б', 'Набережные Челны, ул. Шамиля Усманова, 86'], 'Планета Здоровья': ['Набережные Челны, пр-кт Мира, 65']}
Хлоргексидина биглюконат раствор водный для наружного применения 0,05% 100 мл флакон 1 шт.;https://sc.api.megapteka.ru/items/ed/87/a66dae6f747c0284f73b7583ba08fa094151f5a628f4066fde1d7e89bb00a4e7-cmpr.jpg;18 ₽;Акушерство. Гинекология;Хлоргексидинсф, Хлоргексидинмедисорб, Амидент, Хлоргексидинабиглюконат, Биоасептик;Прозрачный или слегка опалесцирующий бесцветный раствор без запаха.;{'Экона': ['Набережные Челны, пр-кт Московский, 129/5', 'Набережные Челны, 6-й комплекс, 3', 'Набережные Челны, пр-кт Мусы Джалиля, 60А', 'Набережные Челны, пр-кт Сююмбике, 64', 'Набережные Челны, пр-кт Московский, 181'], 'Аптека Фармаимпекс': ['Набережные Челны, пр-кт Набережночелнинский, 70/56, пом.1009', 'Набережные Челны, пр-кт Сююмбике, 49/1'], 'Бережная аптека': ['Набережные Челны, б-р Кереселидзе, 6/09'], 'Планета Здоровья': ['Набережные Челны, пр-кт Сююмбике, 40', 'Набережные Челны, ул. Яшьлек, 14']}
Хлоргексидин раствор для наружного и местного применения 0,05% 200 мл флакон 1 шт.;https://sc.api.megapteka.ru/items/dd/1b/f7d24b0362e1984247bac45b34bb14ddfa15063b35d1f9fd590b9a3ea4bf8eaf-cmpr.jpg;25 ₽;Акушерство. Гинекология;У данного лекарства нет аналогов;Бесцветный, прозрачный водный раствор.;{'Аптека Фармаимпекс': ['Набережные Челны, пр-кт Раиса Беляева, 12']}
Хлоргексидина биглюконат раствор водный для местного и наружного применения 0,05% 100 мл флакон 1 шт.;https://sc.api.megapteka.ru/items/be/70/563bae67876d7c834c806300df2dd0c0f9098399bcdde43cdf1b3d12b7bf58de.jpg;29,60 ₽;Акушерство. Гинекология;Хлоргексидинсф, Хлоргексидинмедисорб, Амидент, Хлоргексидинабиглюконат, Биоасептик;Прозрачный или слегка опалесцирующий бесцветный раствор без запаха.;{'АптекаПлюс': ['Набережные Челны, пр-кт Автозаводский, 29', 'Набережные Челны, пр-кт Набережночелнинский, 51', 'Набережные Челны, ул. им. Мусы Джалиля, 86', 'Набережные Челны, пр-кт Московский, 86', 'Набережные Челны, пр-кт Раиса Беляева, 45А', 'Набережные Челны, пр-кт Дружбы Народов, 9Б', 'Набережные Челны, пр-кт Мира, 66А', 'Набережные Челны, пр-кт Сююмбике, 51, пом.1002'], 'Цена красна': ['Набережные Челны, пр-кт Московский, 105, 4/03'], 'Низкие цены': ['Набережные Челны, ул. Шамиля Усманова, 47']}
Хлоргексидина биглюконат форте раствор водный для наружного применения 0,1% 100 мл флакон 1 шт.;https://sc.api.megapteka.ru/items/9c/ba/eefed752d9b219ae1c2ebbc4309ce0bcf887ce3c3bb55fba14f6f8faeb1a0da0.jpg;31 ₽;Акушерство. Гинекология;Хлоргексидинсф, Хлоргексидинмедисорб, Амидент, Хлоргексидинабиглюконат, Биоасептик;Бесцветная или со слегка желтоватым оттенком, прозрачная или слегка опалесцирующая жидкость без запаха.;{'Низкие цены': ['Набережные Челны, ул. Гидростроителей, 9', 'Набережные Челны, ул. Шамиля Усманова, 47'], 'АптекаПлюс': ['Набережные Челны, пр-кт Сююмбике, 65А', 'Набережные Челны, пр-кт Московский, 86', 'Набережные Челны, пр-кт Набережночелнинский, 51', 'Набережные Челны, пр-кт Чулман, 40/11А', 'Набережные Челны, пр-кт Автозаводский, 29', 'Набережные Челны, пр-кт Сююмбике, 58А'], 'Цена красна': ['Набережные Челны, пр-кт Московский, 105, 4/03'], 'Планета Здоровья': ['Набережные Челны, наб. Габдулы Тукая, 2']}
